OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
KUIPER-00581,2026-118G,2026-06-03T14:00:16.998912,15.36364462,.000891,51.8646,119.0818,126.9297,81.7526,0,U,69273,999,198,-.41079E-3,-.15176E-3,0
KUIPER-00581,2026-118G,2026-06-03T14:00:16.999776,15.36364462,.00089103,51.8646,119.0818,126.9297,81.7526,0,U,69273,999,198,-.41078668E-3,-.15176E-3,0
KUIPER-00581,2026-118G,2026-06-04T04:00:03.000096,15.36363683,.0008948,51.8644,116.2671,128.5646,67.6558,0,U,69273,999,207,.2938E-3,.10216E-3,0
KUIPER-00581,2026-118G,2026-06-04T06:00:04.000320,15.36351072,.0008971,51.8645,115.8650,127.5676,169.9251,0,U,69273,999,208,.10995146E-2,.39445E-3,0
KUIPER-00581,2026-118G,2026-06-04T18:00:02.998944,15.36357858,.0009093,51.8641,113.4484,131.4611,53.2241,0,U,69273,999,216,.16619E-2,.59999E-3,0
KUIPER-00581,2026-118G,2026-06-04T22:00:05.000256,15.36386656,.00091641,51.8643,112.6438,132.2578,254.9643,0,U,69273,999,219,.5912788E-3,.21005E-3,0
KUIPER-00581,2026-118G,2026-06-05T02:00:04.000032,15.36390908,.0008978,51.8642,111.8402,132.1332,97.4529,0,U,69273,999,221,.64051E-4,.192E-4,0
KUIPER-00581,2026-118G,2026-06-05T06:00:04.999968,15.36378107,.00089921,51.8642,111.0361,132.5094,299.5698,0,U,69273,999,224,.10826928E-2,.38867E-3,0
KUIPER-00581,2026-118G,2026-06-05T16:00:01.998720,15.36386126,.0009106,51.8643,109.0222,134.8930,83.0669,0,U,69273,999,230,.10823E-2,.38865E-3,0
KUIPER-00581,2026-118G,2026-06-05T18:00:02.998944,15.36375261,.0009103,51.8641,108.6196,135.9137,183.3286,0,U,69273,999,231,.1852E-2,.67004E-3,0
KUIPER-00581,2026-118G,2026-06-05T22:00:01.999584,15.36401224,.00090715,51.8645,107.8153,135.8425,25.7575,0,U,69273,999,234,.77160308E-3,.27567E-3,0
KUIPER-00581,2026-118G,2026-06-06T04:00:03.998880,15.36407452,.0008961,51.8641,106.6092,135.9569,329.4471,0,U,69273,999,238,.66343E-3,.23639E-3,0
KUIPER-00581,2026-118G,2026-06-06T06:00:02.000160,15.36388522,.00088835,51.8643,106.2071,135.5673,70.9327,0,U,69273,999,239,.18046022E-2,.6529E-3,0
KUIPER-00581,2026-118G,2026-06-06T12:00:02.000160,15.36438356,.0008828,51.8642,104.9986,137.6474,12.5080,0,U,69273,999,243,-.17241E-3,-.6619E-4,0
KUIPER-00581,2026-118G,2026-06-06T14:00:04.000032,15.36431350,.00089842,51.8644,104.5954,137.3820,114.1304,0,U,69273,999,244,.14861797E-3,.4982E-4,0
KUIPER-00581,2026-118G,2026-06-06T20:00:01.999008,15.36431324,.0009143,51.8644,103.3876,139.1221,55.9408,0,U,69273,999,248,.11761E-2,.42347E-3,0
KUIPER-00581,2026-118G,2026-06-06T22:00:03.000096,15.36447578,.00090606,51.8645,102.9855,138.9872,157.3623,0,U,69273,999,249,.3546639E-3,.12453E-3,0
KUIPER-00581,2026-118G,2026-06-07T04:00:01.998720,15.36437311,.0009015,51.8645,101.7796,139.2765,100.7032,0,U,69273,999,253,.72708E-3,.25978E-3,0
KUIPER-00581,2026-118G,2026-06-07T06:00:04.999968,15.36424133,.0008898,51.8646,101.3773,139.9308,201.4734,0,U,69273,999,254,.16512581E-2,.59734E-3,0
KUIPER-00581,2026-118G,2026-06-07T12:00:04.000320,15.36473713,.0008996,51.8645,100.1685,140.9750,144.0468,0,U,69273,999,258,-.57437E-3,-.21121E-3,0
KUIPER-00581,2026-118G,2026-06-07T18:00:04.999104,15.36439914,.0009137,51.8646,98.9597,142.3668,86.4303,0,U,69273,999,262,.16419E-2,.59425E-3,0
KUIPER-00581,2026-118G,2026-06-08T04:00:05.000256,15.36462585,.0008968,51.8649,96.9495,142.6664,232.3015,0,U,69273,999,269,.57991E-3,.20642E-3,0
KUIPER-00581,2026-118G,2026-06-08T06:00:04.000320,15.36445244,.00088208,51.8650,96.5473,143.3733,332.7708,0,U,69273,999,270,.17382056E-2,.62968E-3,0
KUIPER-00581,2026-118G,2026-06-08T12:00:02.000160,15.36494116,.000886,51.8651,95.3384,144.6760,275.0472,0,U,69273,999,274,-.2673E-3,-.10059E-3,0
KUIPER-00581,2026-118G,2026-06-08T20:00:03.000384,15.36490594,.0008969,51.8653,93.7274,145.4852,319.2688,0,U,69273,999,279,.69764E-3,.2495E-3,0
KUIPER-00581,2026-118G,2026-06-09T01:47:28.520160,15.36493751,.0008896,51.8652,92.5632,146.1925,213.9629,0,U,69273,999,282,.30852E-3,.10795E-3,0
KUIPER-00581,2026-118G,2026-06-09T04:54:47.684448,15.36497473,.00088766,51.8652,91.9350,146.6051,213.5497,0,U,69273,999,284,.32700072E-3,.11468E-3,0
KUIPER-00581,2026-118G,2026-06-09T09:35:46.442112,15.36506209,.0008865,51.8654,90.9917,146.7854,213.3690,0,U,69273,999,287,.52827E-3,.18791E-3,0
KUIPER-00581,2026-118G,2026-06-09T12:43:05.511360,15.36511426,.00088659,51.8656,90.3638,148.1610,211.9914,0,U,69273,999,289,.60918279E-3,.21741E-3,0
KUIPER-00581,2026-118G,2026-06-09T18:57:43.602336,15.36525354,.00088875,51.8655,89.1074,149.1784,210.9726,0,U,69273,999,293,.638598E-3,.22824E-3,0
KUIPER-00581,2026-118G,2026-06-10T02:46:01.238304,15.36527484,.0008768,51.8655,87.5370,149.8139,210.3354,0,U,69273,999,298,.53095E-3,.18901E-3,0
KUIPER-00581,2026-118G,2026-06-10T04:19:40.769472,15.36520875,.00088518,51.8653,87.2227,149.8153,210.3344,0,U,69273,999,299,.35922156E-3,.12648E-3,0
KUIPER-00581,2026-118G,2026-06-10T12:07:58.197216,15.36531574,.00088848,51.8654,85.6514,151.1083,209.0397,0,U,69273,999,304,.5087292E-3,.18095E-3,0
KUIPER-00581,2026-118G,2026-06-10T12:07:58.197216,15.36531574,.0008885,51.8654,85.6514,151.1083,209.0397,0,U,69273,999,304,.50873E-3,.18095E-3,0
KUIPER-00581,2026-118G,2026-06-11T05:18:11.877120,15.36553335,.00088664,51.8653,82.1960,153.3816,206.7627,0,U,69273,999,315,.4746276E-3,.16865E-3,0
KUIPER-00581,2026-118G,2026-06-11T11:32:49.383168,15.36562533,.00088696,51.8653,80.9399,155.8560,204.2844,0,U,69273,999,319,.65181634E-3,.23334E-3,0
KUIPER-00581,2026-118G,2026-06-11T16:13:47.510112,15.36565611,.0008884,51.8653,79.9967,154.9258,205.2162,0,U,69273,999,322,.50543E-3,.17995E-3,0
KUIPER-00581,2026-118G,2026-06-11T22:28:24.947904,15.36570666,.00087143,51.8652,78.7409,155.5995,204.5406,0,U,69273,999,326,.49155751E-3,.17491E-3,0
