ID,Name,Type,TLE Line 1,TLE Line 2,Epoch
63748,KUIPER-00035,Satellite,1 63748U 25088AA  26249.11493882  .00002122  00000+0  30707-3 0  9996,2 63748  51.8998  35.2450 0000747  80.4847 279.6199 14.79966826 74246,2026-09-06 02:45:30 UTC
63913,STARLINK-34070,Satellite,1 63913U 25095Z   26248.99651972  .00006445  00000+0  24348-3 0  9995,2 63913  42.9960 237.9156 0000694 311.9460  48.1332 15.27585158 75358,2026-09-05 23:54:59 UTC
28089,YAMAL 202,Satellite,1 28089U 03053A   26249.19608348 -.00000094  00000+0  00000+0 0  9992,2 28089   6.5402  69.9229 0004228 107.1470  42.4014  1.00271818 83519,2026-09-06 04:42:21 UTC
63261,LEMUR-2-EMERSONROSE,Satellite,1 63261U 25052BD  26248.97872808  .00002363  00000+0  19687-3 0  9990,2 63261  97.6760 141.1935 0004467 122.6622 237.5032 14.99578756 80844,2026-09-05 23:29:22 UTC
66435,STARLINK-35502,Satellite,1 66435U 25259P   26248.29317453  .00009297  00000+0  34676-3 0  9998,2 66435  43.0030 339.6669 0001848 280.0665  79.9978 15.27595857 46964,2026-09-05 07:02:10 UTC
66667,PELICAN-5,Satellite,1 66667U 25276B   26248.61090412  .00031992  00000+0  93137-3 0  9997,2 66667  97.4062 323.7858 0000964 123.2348 236.8988 15.35350042 42849,2026-09-05 14:39:42 UTC
59768,STARLINK-31826,Satellite,1 59768U 24091R   26248.28810199  .00046447  00000+0  44761-3 0  9990,2 59768  53.1442 253.1435 0010920  28.3114 331.8493 15.66002237130771,2026-09-05 06:54:52 UTC
67853,STARLINK-36785,Satellite,1 67853U 26034D   26248.54069475  .00010094  00000+0  30947-3 0  9995,2 67853  53.1586  87.2954 0001774 113.8001 246.3188 15.34400606 31596,2026-09-05 12:58:36 UTC
62159,STARLINK-32524,Satellite,1 62159U 24224W   26248.33035348  .00007365  00000+0  27692-3 0  9997,2 62159  43.0026 227.0578 0001321 261.9190  98.1511 15.27576984 99755,2026-09-05 07:55:42 UTC
53193,STARLINK-4351,Satellite,1 53193U 22084E   26249.16670139  .00012680  00000+0  39457-3 0  9990,2 53193  97.2849 304.1885 0001198  81.4763 168.0059 15.33433980  5822,2026-09-06 04:00:03 UTC
69273,KUIPER-00581,Satellite,1 69273U 26118G   26249.17173970  .00000503  00000+0  94983-4 0  9997,2 69273  51.9044  45.0473 0001942 146.0703 214.0384 14.79930455 16200,2026-09-06 04:07:18 UTC
46055,STARLINK-1554,Satellite,1 46055U 20055AE  26248.67768284  .00002565  00000+0  94382-4 0  9999,2 46055  53.1609 356.4326 0001080  83.6809 276.4315 15.31707167336657,2026-09-05 16:15:51 UTC
56047,ONEWEB-0538,Satellite,1 56047U 23043B   26249.20101787  .00000085  00000+0  18955-3 0  9996,2 56047  87.9129 212.6852 0001919  73.3507 286.7834 13.16593332169630,2026-09-06 04:49:27 UTC
27168,USA 164 (MILSTAR-2 3),Satellite,1 27168U 02001A   26249.09657262  .00000088  00000+0  00000+0 0  9991,2 27168  11.2768  21.3947 0097835   9.8010   7.7814  1.00276254 33771,2026-09-06 02:19:03 UTC
