prediction_horizon_hours,inclination_deg,eccentricity,mean_motion_rev_day,bstar,mean_motion_derivative,NORAD_CAT_ID,reliability_label,reliability
13.68721344,11.161,0.00998653,1.00272294,0.0,1.02e-06,27168,1,Reliable
10.26935784,11.1616,0.00998137,1.0027251,0.0,1.03e-06,27168,1,Reliable
14.246592,11.162,0.00997883,1.00272686,0.0,1.03e-06,27168,1,Reliable
2.2236528,11.1626,0.0099729,1.00272898,0.0,1.04e-06,27168,1,Reliable
9.18913608,11.1627,0.00997265,1.00272932,0.0,1.04e-06,27168,1,Reliable
11.98170504,11.1631,0.00996916,1.00273083,0.0,1.04e-06,27168,1,Reliable
11.97702744,11.1637,0.00996312,1.00273246,0.0,1.04e-06,27168,1,Reliable
22.24588032,11.1642,0.00995954,1.00273426,0.0,1.05e-06,27168,1,Reliable
11.14457448,11.1653,0.00995068,1.0027372,0.0,1.06e-06,27168,1,Reliable
2.5422007200000003,11.1658,0.0099453,1.00273872,0.0,1.06e-06,27168,1,Reliable
3.75746976,11.1659,0.00994449,1.00273893,0.0,1.06e-06,27168,1,Reliable
8.222574,11.166,0.009943,1.00273935,0.0,1.06e-06,27168,1,Reliable
11.97565752,11.1664,0.00994008,1.00274042,0.0,1.07e-06,27168,1,Reliable
11.97540168,11.1669,0.0099345,1.00274186,0.0,1.07e-06,27168,1,Reliable
10.27356576,11.1675,0.0099303,1.00274321,0.0,1.07e-06,27168,1,Reliable
1.70664504,11.1679,0.0099265,1.00274452,0.0,1.08e-06,27168,1,Reliable
10.26798456,11.168,0.0099261,1.00274464,0.0,1.08e-06,27168,1,Reliable
11.60326008,11.1685,0.0099225,1.0027457,0.0,1.08e-06,27168,1,Reliable
2.08108704,11.1691,0.009919,1.00274716,0.0,1.08e-06,27168,1,Reliable
10.2714,11.1692,0.0099182,1.00274732,0.0,1.08e-06,27168,1,Reliable
13.01430864,11.1697,0.00991456,1.00274832,0.0,1.08e-06,27168,1,Reliable
10.93857576,11.1704,0.0099113,1.00274992,0.0,1.08e-06,27168,1,Reliable
15.80006136,11.171,0.00990748,1.00275096,0.0,1.07e-06,27168,1,Reliable
8.15395872,11.1718,0.00990457,1.00275285,0.0,1.06e-06,27168,1,Reliable
12.2917476,11.1722,0.00990197,1.00275369,0.0,1.06e-06,27168,1,Reliable
11.66270616,11.1729,0.0099006,1.00275535,0.0,1.05e-06,27168,1,Reliable
23.95469736,11.1735,0.00989823,1.0027566,0.0,1.03e-06,27168,1,Reliable
11.39426136,11.1748,0.0098959,1.0027598,0.0,1e-06,27168,1,Reliable
12.5592108,11.1754,0.00989589,1.00276159,0.0,9.9e-07,27168,1,Reliable
13.57459104,11.1761,0.00989562,1.00276336,0.0,9.7e-07,27168,1,Reliable
10.37840328,11.1768,0.00989667,1.00276577,0.0,9.5e-07,27168,1,Reliable
12.37166424,11.1773,0.00989688,1.00276736,0.0,9.4e-07,27168,1,Reliable
48.59328816,11.178,0.00989851,1.00276973,0.0,9.2e-07,27168,1,Reliable
58.80566208,11.1806,0.00990447,1.00277966,0.0,8.8e-07,27168,0,Not Reliable
61.68439248,11.184,0.0099678,1.00267381,0.0,8.7e-07,27168,1,Reliable
28.28880288,11.1866,0.00997642,1.00268864,0.0,9.2e-07,27168,1,Reliable
29.46113904,11.1879,0.00997868,1.00269507,0.0,9.4e-07,27168,1,Reliable
24.28865064,11.1892,0.00997551,1.00270169,0.0,9.7e-07,27168,1,Reliable
36.0431472,11.1903,0.0099699,1.00270651,0.0,9.8e-07,27168,1,Reliable
11.862845040000002,11.1919,0.0099575,1.00271321,0.0,1e-06,27168,1,Reliable
17.06443224,11.1924,0.00995431,1.0027154,0.0,1e-06,27168,1,Reliable
21.14094432,11.193,0.00995029,1.00271817,0.0,1.01e-06,27168,1,Reliable
57.60544752,11.1939,0.00994174,1.00272159,0.0,1.01e-06,27168,1,Reliable
12.2683992,11.1964,0.00991848,1.0027302,0.0,1.03e-06,27168,1,Reliable
35.63901144,11.1969,0.0099119,1.00273186,0.0,1.04e-06,27168,1,Reliable
17.78154168,11.1986,0.00989699,1.00273637,0.0,1.05e-06,27168,1,Reliable
6.17068968,11.1994,0.00988946,1.00273846,0.0,1.06e-06,27168,1,Reliable
12.51027168,11.1997,0.0098869,1.00273921,0.0,1.06e-06,27168,1,Reliable
11.54131656,11.2003,0.0098822,1.00274081,0.0,1.06e-06,27168,1,Reliable
14.771672639999998,11.2009,0.00987763,1.00274196,0.0,1.06e-06,27168,1,Reliable
7.77833184,11.2016,0.0098728,1.00274372,0.0,1.06e-06,27168,1,Reliable
1.30507368,11.202,0.0098697,1.00274452,0.0,1.06e-06,27168,1,Reliable
11.97675864,11.2021,0.00986883,1.00274465,0.0,1.06e-06,27168,1,Reliable
11.97489384,11.2027,0.0098654,1.00274621,0.0,1.05e-06,27168,1,Reliable
23.62656816,11.2033,0.00986128,1.00274737,0.0,1.04e-06,27168,1,Reliable
12.30364656,11.2046,0.00985551,1.00275014,0.0,1.02e-06,27168,1,Reliable
11.97570264,11.2053,0.0098538,1.00275184,0.0,1.01e-06,27168,1,Reliable
23.95257888,11.2059,0.00985124,1.00275316,0.0,1e-06,27168,1,Reliable
11.91554016,11.2072,0.009849,1.00275642,0.0,9.6e-07,27168,1,Reliable
12.03840648,11.2078,0.00984906,1.00275835,0.0,9.5e-07,27168,1,Reliable
13.33077192,11.2085,0.00984857,1.00276003,0.0,9.3e-07,27168,1,Reliable
9.74004456,11.2093,0.0098505,1.00276243,0.0,9.1e-07,27168,1,Reliable
0.8828796,11.2098,0.00985089,1.00276392,0.0,9e-07,27168,1,Reliable
15.44387064,11.2098,0.00985067,1.00276406,0.0,9e-07,27168,1,Reliable
8.50916808,11.2107,0.0098528,1.00276714,0.0,8.8e-07,27168,1,Reliable
11.3504808,11.2112,0.00985316,1.00276857,0.0,8.7e-07,27168,1,Reliable
12.60059472,11.2118,0.0098546,1.00277092,0.0,8.6e-07,27168,1,Reliable
11.97517704,11.2125,0.00985579,1.00277354,0.0,8.5e-07,27168,1,Reliable
24.86513664,11.2131,0.0098573,1.00277618,0.0,8.5e-07,27168,0,Not Reliable
11.06503032,11.2142,0.0099289,1.00266982,0.0,8.4e-07,27168,1,Reliable
13.28431176,11.2149,0.00992755,1.0026726,0.0,8.4e-07,27168,1,Reliable
10.6667592,11.2155,0.00993063,1.00267574,0.0,8.5e-07,27168,1,Reliable
11.97581928,11.2161,0.00993027,1.00267853,0.0,8.5e-07,27168,1,Reliable
