PRN,Timestamp,X_km,Y_km,Z_km
PG01,2026-04-01 00:00:0.00000000,-9713.261534,19066.457187,-15690.018572
PG02,2026-04-01 00:00:0.00000000,-17132.283335,19265.312731,-4571.725706
PG03,2026-04-01 00:00:0.00000000,159.625776,15608.763721,-21703.4826
PG04,2026-04-01 00:00:0.00000000,-1143.065254,26074.058992,-4371.098134
PG05,2026-04-01 00:00:0.00000000,15646.27431,-8106.077482,19714.358772
PG06,2026-04-01 00:00:0.00000000,20585.945181,-773.73039,-16791.566784
PG07,2026-04-01 00:00:0.00000000,6308.314337,14665.596427,21806.662171
PG08,2026-04-01 00:00:0.00000000,-7761.746208,20170.556122,14918.85524
PG09,2026-04-01 00:00:0.00000000,7084.492603,24991.279085,5254.564567
PG10,2026-04-01 00:00:0.00000000,-24188.310833,-11404.198795,551.195554
PG11,2026-04-01 00:00:0.00000000,23376.436749,-11505.106766,-4900.103326
PG12,2026-04-01 00:00:0.00000000,4222.606744,-15030.416319,-21779.416987
PG13,2026-04-01 00:00:0.00000000,12957.106659,-13687.716515,18331.319026
PG14,2026-04-01 00:00:0.00000000,23087.31988,13105.283286,3174.869741
PG15,2026-04-01 00:00:0.00000000,4440.399211,-21662.8995,14130.214653
PG16,2026-04-01 00:00:0.00000000,-20129.299885,2558.362265,16968.720035
PG17,2026-04-01 00:00:0.00000000,12811.961781,15237.615374,-17079.887449
PG18,2026-04-01 00:00:0.00000000,-7768.817397,-12855.346226,21946.579691
PG19,2026-04-01 00:00:0.00000000,15012.732707,5855.482422,-21264.49209
PG20,2026-04-01 00:00:0.00000000,11001.141406,-15674.451087,18489.680266
PG21,2026-04-01 00:00:0.00000000,22168.547781,-918.857332,14636.805798
PG22,2026-04-01 00:00:0.00000000,23844.124969,10823.341158,-2923.800438
PG23,2026-04-01 00:00:0.00000000,-17256.344939,-16116.255678,12506.306212
PG24,2026-04-01 00:00:0.00000000,12278.757255,-21322.068329,-10052.061734
PG25,2026-04-01 00:00:0.00000000,-10192.483899,-17747.522989,-17447.862542
PG26,2026-04-01 00:00:0.00000000,-25624.662133,-2893.064633,6945.248888
PG27,2026-04-01 00:00:0.00000000,-13244.136646,10105.670991,20223.098069
PG28,2026-04-01 00:00:0.00000000,-20568.396494,1134.544021,-16770.348624
PG29,2026-04-01 00:00:0.00000000,-3907.442772,-25829.746522,4276.433678
PG30,2026-04-01 00:00:0.00000000,16662.599308,5978.238568,20073.201489
PG31,2026-04-01 00:00:0.00000000,-23679.82531,8575.777638,-9193.188944
PG32,2026-04-01 00:00:0.00000000,-14537.469561,-11076.470927,-19061.813989
PG01,2026-04-01 00:15:0.00000000,-11217.343121,19835.318868,-13584.876106
PG02,2026-04-01 00:15:0.00000000,-17630.999148,19330.057045,-1708.129246
PG03,2026-04-01 00:15:0.00000000,-2120.158015,14678.389544,-22237.987611
PG04,2026-04-01 00:15:0.00000000,-1443.809787,25436.208105,-7154.062423
PG05,2026-04-01 00:15:0.00000000,17689.500273,-7283.205578,18271.18854
PG06,2026-04-01 00:15:0.00000000,19024.78897,514.414682,-18531.744957
PG07,2026-04-01 00:15:0.00000000,4425.146206,16060.588619,21228.740567
PG08,2026-04-01 00:15:0.00000000,-8348.063867,18379.067342,16817.710979
PG09,2026-04-01 00:15:0.00000000,6916.465478,25477.502562,2431.622831
PG10,2026-04-01 00:15:0.00000000,-23955.911846,-11453.351426,3439.042439
PG11,2026-04-01 00:15:0.00000000,22928.351937,-10885.210475,-7644.052459
PG12,2026-04-01 00:15:0.00000000,6423.793663,-13978.282216,-21943.563566
PG13,2026-04-01 00:15:0.00000000,13062.419508,-11451.904668,19739.201097
PG14,2026-04-01 00:15:0.00000000,22513.27983,13163.678649,5913.423802
PG15,2026-04-01 00:15:0.00000000,5223.91719,-19998.812512,16106.793126
PG16,2026-04-01 00:15:0.00000000,-21737.945068,1562.822451,15080.197423
PG17,2026-04-01 00:15:0.00000000,12778.268006,17166.331749,-15188.593747
PG18,2026-04-01 00:15:0.00000000,-5764.921936,-14319.622189,21631.484073
PG19,2026-04-01 00:15:0.00000000,15059.194288,8220.083618,-20478.047665
PG20,2026-04-01 00:15:0.00000000,11471.504633,-13543.356128,19839.562297
PG21,2026-04-01 00:15:0.00000000,23514.020136,-137.669942,12396.012552
PG22,2026-04-01 00:15:0.00000000,23897.797688,11175.560449,-61.574913
PG23,2026-04-01 00:15:0.00000000,-15776.973463,-15684.426237,14789.15656
PG24,2026-04-01 00:15:0.00000000,13179.027077,-21761.437583,-7474.808378
PG25,2026-04-01 00:15:0.00000000,-8261.072836,-17173.381168,-18987.500298
PG26,2026-04-01 00:15:0.00000000,-26177.670582,-3372.880771,4276.291833
PG27,2026-04-01 00:15:0.00000000,-13723.484705,7707.622141,20972.386393
PG28,2026-04-01 00:15:0.00000000,-19109.814993,-263.376666,-18446.337226
PG29,2026-04-01 00:15:0.00000000,-3666.260825,-26180.01239,1435.83477
PG30,2026-04-01 00:15:0.00000000,14913.987578,7485.650983,20910.137316
PG31,2026-04-01 00:15:0.00000000,-22886.485264,7719.019602,-11674.006913
